Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 7 22 0.5107 0.7769 0.9042 0.6635 
2022 9 7 23 0.5096 0.7766 0.9042 0.6636 
2022 9 8 0 0.5085 0.7763 0.9041 0.6636 
2022 9 8 1 0.5074 0.7761 0.9041 0.6637 
2022 9 8 2 0.5063 0.7758 0.9041 0.6637 
2022 9 8 3 0.5052 0.7755 0.9040 0.6637 
2022 9 8 4 0.5041 0.7753 0.9040 0.6638 
2022 9 8 5 0.5030 0.7750 0.9040 0.6638 
2022 9 8 6 0.5019 0.7747 0.9039 0.6639 
2022 9 8 7 0.5008 0.7745 0.9039 0.6639 
2022 9 8 8 0.4997 0.7742 0.9039 0.6639 
2022 9 8 9 0.4986 0.7739 0.9038 0.6640 
2022 9 8 10 0.4974 0.7737 0.9038 0.6640 
2022 9 8 11 0.4963 0.7734 0.9038 0.6641 
2022 9 8 12 0.4952 0.7731 0.9037 0.6641 
2022 9 8 13 0.4941 0.7729 0.9037 0.6641 
2022 9 8 14 0.4930 0.7726 0.9036 0.6642 
2022 9 8 15 0.4919 0.7723 0.9036 0.6642 
2022 9 8 16 0.4908 0.7721 0.9036 0.6643 
2022 9 8 17 0.4896 0.7718 0.9035 0.6643 
2022 9 8 18 0.4885 0.7715 0.9035 0.6643 
2022 9 8 19 0.4874 0.7713 0.9035 0.6644 
2022 9 8 20 0.4863 0.7710 0.9034 0.6644 
2022 9 8 21 0.4852 0.7707 0.9034 0.6645 
2022 9 8 22 0.4840 0.7705 0.9034 0.6645 
2022 9 8 23 0.4829 0.7702 0.9033 0.6645 
2022 9 9 0 0.4818 0.7699 0.9033 0.6646 
2022 9 9 1 0.4806 0.7697 0.9033 0.6646 
2022 9 9 2 0.4795 0.7694 0.9032 0.6647 
2022 9 9 3 0.4784 0.7691 0.9032 0.6647 
2022 9 9 4 0.4773 0.7689 0.9031 0.6647 
2022 9 9 5 0.4762 0.7686 0.9031 0.6648 
2022 9 9 6 0.4750 0.7683 0.9031 0.6648 
2022 9 9 7 0.4739 0.7681 0.9030 0.6649 
2022 9 9 8 0.4728 0.7678 0.9030 0.6649 
2022 9 9 9 0.4717 0.7675 0.9030 0.6649 
2022 9 9 10 0.4706 0.7673 0.9029 0.6650 
2022 9 9 11 0.4694 0.7670 0.9029 0.6650 
2022 9 9 12 0.4683 0.7667 0.9029 0.6651 
2022 9 9 13 0.4672 0.7664 0.9028 0.6651 
2022 9 9 14 0.4661 0.7662 0.9028 0.6651 
2022 9 9 15 0.4649 0.7659 0.9028 0.6652 
2022 9 9 16 0.4638 0.7656 0.9027 0.6652 
2022 9 9 17 0.4627 0.7654 0.9027 0.6652 
2022 9 9 18 0.4615 0.7651 0.9026 0.6653 
2022 9 9 19 0.4604 0.7648 0.9026 0.6653 
2022 9 9 20 0.4593 0.7646 0.9026 0.6654 
2022 9 9 21 0.4581 0.7643 0.9025 0.6654 
2022 9 9 22 0.4570 0.7640 0.9025 0.6654 
2022 9 9 23 0.4558 0.7638 0.9025 0.6655 
2022 9 10 0 0.4547 0.7635 0.9024 0.6655 
2022 9 10 1 0.4535 0.7632 0.9024 0.6656 
2022 9 10 2 0.4524 0.7629 0.9024 0.6656 
2022 9 10 3 0.4512 0.7627 0.9023 0.6656 
2022 9 10 4 0.4501 0.7624 0.9023 0.6657 
2022 9 10 5 0.4490 0.7621 0.9022 0.6657 
2022 9 10 6 0.4478 0.7619 0.9022 0.6658 
2022 9 10 7 0.4467 0.7616 0.9022 0.6658 
2022 9 10 8 0.4455 0.7613 0.9021 0.6658 
2022 9 10 9 0.4444 0.7611 0.9021 0.6659 
2022 9 10 10 0.4433 0.7608 0.9021 0.6659 
2022 9 10 11 0.4421 0.7605 0.9020 0.6659 
2022 9 10 12 0.4410 0.7603 0.9020 0.6660 
2022 9 10 13 0.4399 0.7600 0.9020 0.6660 
2022 9 10 14 0.4388 0.7597 0.9019 0.6661 
2022 9 10 15 0.4377 0.7595 0.9019 0.6661 
2022 9 10 16 0.4366 0.7592 0.9019 0.6661 
2022 9 10 17 0.4355 0.7589 0.9018 0.6662 
2022 9 10 18 0.4344 0.7587 0.9018 0.6662 
2022 9 10 19 0.4333 0.7584 0.9017 0.6663 
2022 9 10 20 0.4322 0.7581 0.9017 0.6663 
2022 9 10 21 0.4311 0.7579 0.9017 0.6663 
2022 9 10 22 0.4300 0.7576 0.9016 0.6664 
2022 9 10 23 0.4289 0.7573 0.9016 0.6664 
2022 9 11 0 0.4278 0.7571 0.9016 0.6664 
2022 9 11 1 0.4267 0.7568 0.9015 0.6665 
2022 9 11 2 0.4256 0.7565 0.9015 0.6665 
2022 9 11 3 0.4245 0.7563 0.9015 0.6666 
2022 9 11 4 0.4234 0.7560 0.9014 0.6666 
2022 9 11 5 0.4224 0.7557 0.9014 0.6666 
2022 9 11 6 0.4213 0.7555 0.9014 0.6667 
2022 9 11 7 0.4202 0.7552 0.9013 0.6667 
2022 9 11 8 0.4191 0.7549 0.9013 0.6668 
2022 9 11 9 0.4180 0.7547 0.9012 0.6668 
2022 9 11 10 0.4169 0.7544 0.9012 0.6668 
2022 9 11 11 0.4158 0.7541 0.9012 0.6669 
2022 9 11 12 0.4147 0.7539 0.9011 0.6669 
2022 9 11 13 0.4137 0.7536 0.9011 0.6669 
2022 9 11 14 0.4126 0.7533 0.9011 0.6670 
2022 9 11 15 0.4115 0.7531 0.9010 0.6670 
2022 9 11 16 0.4104 0.7528 0.9010 0.6671 
2022 9 11 17 0.4093 0.7525 0.9010 0.6671 
2022 9 11 18 0.4082 0.7523 0.9009 0.6671 
2022 9 11 19 0.4071 0.7520 0.9009 0.6672 
2022 9 11 20 0.4060 0.7517 0.9009 0.6672 
2022 9 11 21 0.4049 0.7515 0.9008 0.6673 
2022 9 11 22 0.4039 0.7512 0.9008 0.6673 
2022 9 11 23 0.4028 0.7509 0.9008 0.6673 
2022 9 12 0 0.4017 0.7507 0.9007 0.6674 
2022 9 12 1 0.4006 0.7504 0.9007 0.6674 
2022 9 12 2 0.3995 0.7501 0.9006 0.6674 
2022 9 12 3 0.3984 0.7499 0.9006 0.6675 
