CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 9 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 11 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 20 3.2000 0.04608000 3.2000 0.0000 
